127.0.0.1 - - [22/Apr/2015:21:39:13 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:17 -0500] "GET /unayoe-web/ HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/login.xhtml HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 53406
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-redmond HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/resources/css/demo.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:18 -0500] "GET /unayoe-web/resources/images/banner/fisi-unmsm.jpg HTTP/1.1" 200 92852
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:19 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:19 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/login.xhtml HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:49 -0500] "GET /unayoe-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-redmond HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:50 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:39:50 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "POST /unayoe-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/login.xhtml;jsessionid=59D787B5691E3787C058C7BB03C6EA6D HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/theme.css.xhtml?ln=primefaces-redmond HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:29 -0500] "GET /unayoe-web/javax.faces.resource/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png.xhtml?ln=primefaces-redmond HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [22/Apr/2015:21:42:39 -0500] "POST /unayoe-web/j_spring_security_check HTTP/1.1" 302 -
